,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy
194,Ridge,False,RandomForest,"Index(['SeqGS', 'SeqSOR', 'CGSolver', 'BiCGSTABSolver', 'LoopSolver',
       'GradientSolver', 'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4'],
      dtype='object')",Ridge(alpha=10),Performance,0.9,"pre_1             4149.560820
CGSolver          2913.450889
GradientSolver    1284.634432
LoopSolver        1224.825236
pre_2              517.607892
SeqGS              426.199832
SeqSOR             426.199832
BiCGSTABSolver     403.991220
pre_4              352.750321
pre_3              326.880775
pre_0              133.213813
dtype: float64","count    964.000000
mean      20.400202
std       19.109387
min        0.010451
25%        5.312939
50%       12.859125
75%       32.785564
max      118.635703
Name: % error, dtype: float64"
195,ElasticNet,False,RandomForest,"Index(['SeqGS', 'SeqSOR', 'CGSolver', 'BiCGSTABSolver', 'LoopSolver',
       'GradientSolver', 'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4'],
      dtype='object')","ElasticNet(alpha=0.2, max_iter=5)",Performance,0.9,"pre_1             3993.198550
CGSolver          2888.533886
GradientSolver    1237.550480
LoopSolver        1184.818912
pre_2              511.056250
SeqGS              440.018537
SeqSOR             394.003637
BiCGSTABSolver     383.415657
pre_4              349.173601
pre_3              324.133131
pre_0              136.995097
dtype: float64","count    964.000000
mean      20.302514
std       18.985500
min        0.029815
25%        5.312409
50%       13.039651
75%       32.601434
max      119.456250
Name: % error, dtype: float64"
196,PolynomialRegression,False,RandomForest,"Index(['SeqGS', 'SeqSOR', 'CGSolver', 'BiCGSTABSolver', 'LoopSolver',
       'GradientSolver', 'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4'],
      dtype='object')",LinearRegression(),Performance,0.9,"pre_0             9.305819e+17
CGSolver          4.667632e+17
LoopSolver        3.485741e+17
pre_1             3.217520e+17
pre_3             1.835267e+17
BiCGSTABSolver    1.520456e+17
pre_4             1.407935e+17
pre_2             9.641689e+16
GradientSolver    8.180891e+16
SeqSOR            3.221506e+16
SeqGS             3.358987e+14
dtype: float64","count    9.640000e+02
mean     2.884634e+12
std      6.402358e+13
min      1.689608e-03
25%      8.156951e+00
50%      1.671415e+01
75%      3.043490e+01
max      1.601329e+15
Name: % error, dtype: float64"
197,RandomForest,False,RandomForest,"Index(['SeqGS', 'SeqSOR', 'CGSolver', 'BiCGSTABSolver', 'LoopSolver',
       'GradientSolver', 'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4'],
      dtype='object')",RandomForestRegressor(),Performance,0.9,"SeqGS            NaN
SeqSOR           NaN
CGSolver         NaN
BiCGSTABSolver   NaN
LoopSolver       NaN
GradientSolver   NaN
pre_0            NaN
pre_1            NaN
pre_2            NaN
pre_3            NaN
pre_4            NaN
Name: % error, dtype: float64","count    964.000000
mean      20.690064
std       31.998034
min        0.026354
25%        5.546944
50%       13.595497
75%       26.035210
max      308.051975
Name: % error, dtype: float64"
198,LinearRegression,False,None,"Index(['SeqGS', 'SeqSOR', 'CGSolver', 'BiCGSTABSolver', 'LoopSolver',
       'GradientSolver', 'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5',
       'pre_6', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4', 'post_5',
       'post_6', 'cells_50', 'cells_51', 'cells_52', 'cells_53', 'cells_54',
       'cells_55', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"LoopSolver        4.051251e+16
GradientSolver    4.051251e+16
BiCGSTABSolver    4.051251e+16
CGSolver          4.051251e+16
cells_50          5.067227e+15
cells_51          5.067227e+15
cells_52          5.067227e+15
cells_53          5.067227e+15
cells_54          5.067227e+15
cells_55          5.067227e+15
pre_5             3.127197e+15
pre_6             3.127197e+15
pre_4             3.127197e+15
pre_3             3.127197e+15
pre_2             3.127197e+15
pre_0             3.127197e+15
pre_1             3.127197e+15
SeqGS             2.719538e+15
SeqSOR            2.719538e+15
post_0            2.583833e+14
post_1            2.583833e+14
post_2            2.583833e+14
post_3            2.583833e+14
post_4            2.583833e+14
post_5            2.583833e+14
post_6            2.583833e+14
dtype: float64","count    108.000000
mean      14.457398
std        9.652149
min        0.061262
25%        6.337410
50%       13.024672
75%       20.501843
max       46.277130
Name: % error, dtype: float64"
199,Lasso,False,None,"Index(['SeqGS', 'SeqSOR', 'CGSolver', 'BiCGSTABSolver', 'LoopSolver',
       'GradientSolver', 'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5',
       'pre_6', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4', 'post_5',
       'post_6', 'cells_50', 'cells_51', 'cells_52', 'cells_53', 'cells_54',
       'cells_55', '#yes'],
      dtype='object')","Lasso(alpha=10, max_iter=10)",Performance,0.1,"post_0            5.704931e+03
post_1            3.656887e+03
pre_1             3.307451e+03
pre_0             2.265143e+03
CGSolver          2.028308e+03
cells_50          1.893868e+03
cells_51          1.570688e+03
SeqGS             1.046355e+03
post_6            9.320489e+02
cells_52          9.022422e+02
cells_55          8.750708e+02
BiCGSTABSolver    4.543941e+02
post_2            4.533889e+02
cells_54          4.336879e+02
pre_5             3.801690e+02
LoopSolver        3.293801e+02
post_5            3.145794e+02
pre_6             2.081288e+02
pre_2             2.017761e+02
post_4            1.767431e+02
GradientSolver    4.012521e+01
SeqSOR            8.674059e-14
dtype: float64","count    108.000000
mean      14.343331
std        9.560212
min        0.175061
25%        6.377327
50%       12.827501
75%       19.920140
max       45.913006
Name: % error, dtype: float64"
200,Ridge,False,None,"Index(['SeqGS', 'SeqSOR', 'CGSolver', 'BiCGSTABSolver', 'LoopSolver',
       'GradientSolver', 'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5',
       'pre_6', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4', 'post_5',
       'post_6', 'cells_50', 'cells_51', 'cells_52', 'cells_53', 'cells_54',
       'cells_55', '#yes'],
      dtype='object')",Ridge(alpha=10),Performance,0.1,"post_0            4209.400098
pre_1             2403.421715
post_1            2365.790769
post_6            2031.961746
CGSolver          1499.387896
post_5            1459.563027
pre_0             1440.860344
post_4            1364.374126
cells_55          1332.503801
cells_50          1282.557479
post_3            1146.848032
pre_5             1052.230339
cells_51          1049.991618
pre_6              960.041793
cells_54           925.615605
LoopSolver         844.654143
pre_4              708.736201
pre_3              689.570416
GradientSolver     614.205475
post_2             572.443937
SeqGS              517.152244
SeqSOR             517.152244
cells_53           488.557059
pre_2              433.703308
cells_52           414.127367
BiCGSTABSolver      40.528278
dtype: float64","count    108.000000
mean      13.822695
std        9.391198
min        0.319351
25%        6.054311
50%       12.237969
75%       18.918831
max       44.611828
Name: % error, dtype: float64"
201,ElasticNet,False,None,"Index(['SeqGS', 'SeqSOR', 'CGSolver', 'BiCGSTABSolver', 'LoopSolver',
       'GradientSolver', 'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5',
       'pre_6', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4', 'post_5',
       'post_6', 'cells_50', 'cells_51', 'cells_52', 'cells_53', 'cells_54',
       'cells_55', '#yes'],
      dtype='object')","ElasticNet(alpha=0.02, l1_ratio=0.1, max_iter=5)",Performance,0.1,"post_0            4353.069930
post_1            2640.889590
pre_1             2377.595210
CGSolver          1719.755148
post_6            1619.917286
pre_0             1569.201123
cells_50          1452.954064
cells_51          1327.482899
post_5            1069.032883
post_4             993.566716
cells_55           990.911947
pre_5              784.961339
post_3             770.733660
SeqGS              760.205508
pre_6              753.953588
cells_52           686.028471
LoopSolver         586.974328
cells_54           581.017672
pre_4              487.512988
pre_3              461.485960
GradientSolver     393.881872
SeqSOR             257.769503
pre_2              216.952814
post_2             198.803959
BiCGSTABSolver     197.551867
cells_53           151.697455
dtype: float64","count    108.000000
mean      13.500244
std        9.292736
min        0.748771
25%        6.184209
50%       11.729705
75%       18.349026
max       43.319249
Name: % error, dtype: float64"
202,RandomForest,False,None,"Index(['SeqGS', 'SeqSOR', 'CGSolver', 'BiCGSTABSolver', 'LoopSolver',
       'GradientSolver', 'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5',
       'pre_6', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4', 'post_5',
       'post_6', 'cells_50', 'cells_51', 'cells_52', 'cells_53', 'cells_54',
       'cells_55', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"SeqGS            NaN
SeqSOR           NaN
CGSolver         NaN
BiCGSTABSolver   NaN
LoopSolver       NaN
GradientSolver   NaN
pre_0            NaN
pre_1            NaN
pre_2            NaN
pre_3            NaN
pre_4            NaN
pre_5            NaN
pre_6            NaN
post_0           NaN
post_1           NaN
post_2           NaN
post_3           NaN
post_4           NaN
post_5           NaN
post_6           NaN
cells_50         NaN
cells_51         NaN
cells_52         NaN
cells_53         NaN
cells_54         NaN
cells_55         NaN
#yes             NaN
Name: % error, dtype: float64","count    108.000000
mean       4.847917
std        6.911637
min        0.002200
25%        0.656705
50%        1.659483
75%        5.923610
max       31.990188
Name: % error, dtype: float64"
203,LinearRegression,False,None,"Index(['SeqGS', 'SeqSOR', 'CGSolver', 'BiCGSTABSolver', 'LoopSolver',
       'GradientSolver', 'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5',
       'pre_6', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4', 'post_5',
       'post_6', 'cells_50', 'cells_51', 'cells_52', 'cells_53', 'cells_54',
       'cells_55', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"post_6            1.582581e+17
post_5            1.582581e+17
post_3            1.582581e+17
post_4            1.582581e+17
post_2            1.582581e+17
post_1            1.582581e+17
post_0            1.582581e+17
LoopSolver        4.465602e+16
GradientSolver    4.465602e+16
BiCGSTABSolver    4.465602e+16
CGSolver          4.465602e+16
cells_50          4.334636e+16
cells_51          4.334636e+16
cells_52          4.334636e+16
cells_53          4.334636e+16
cells_54          4.334636e+16
cells_55          4.334636e+16
pre_5             3.101123e+16
pre_6             3.101123e+16
pre_3             3.101123e+16
pre_4             3.101123e+16
pre_2             3.101123e+16
pre_0             3.101123e+16
pre_1             3.101123e+16
SeqSOR            2.733058e+16
SeqGS             2.733058e+16
dtype: float64","count    215.000000
mean      15.443360
std        9.883314
min        0.017446
25%        7.252419
50%       14.113500
75%       22.672603
max       53.577156
Name: % error, dtype: float64"
204,Lasso,False,None,"Index(['SeqGS', 'SeqSOR', 'CGSolver', 'BiCGSTABSolver', 'LoopSolver',
       'GradientSolver', 'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5',
       'pre_6', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4', 'post_5',
       'post_6', 'cells_50', 'cells_51', 'cells_52', 'cells_53', 'cells_54',
       'cells_55', '#yes'],
      dtype='object')","Lasso(alpha=10, max_iter=10)",Performance,0.2,"post_0            5.615451e+03
post_1            3.725303e+03
pre_1             3.140656e+03
pre_0             2.186567e+03
CGSolver          2.064979e+03
cells_50          1.848882e+03
cells_51          1.526950e+03
SeqGS             1.128491e+03
cells_55          1.014055e+03
post_6            9.203585e+02
cells_52          8.640247e+02
BiCGSTABSolver    5.424878e+02
post_2            4.480776e+02
cells_54          4.281318e+02
pre_5             4.213189e+02
LoopSolver        3.206271e+02
pre_6             2.934679e+02
post_5            2.879189e+02
pre_2             2.520312e+02
post_4            1.655224e+02
GradientSolver    6.424028e+01
SeqSOR            2.155305e-13
dtype: float64","count    215.000000
mean      14.413937
std        9.415649
min        0.245533
25%        6.601234
50%       12.517308
75%       19.577294
max       54.009010
Name: % error, dtype: float64"
205,Ridge,False,None,"Index(['SeqGS', 'SeqSOR', 'CGSolver', 'BiCGSTABSolver', 'LoopSolver',
       'GradientSolver', 'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5',
       'pre_6', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4', 'post_5',
       'post_6', 'cells_50', 'cells_51', 'cells_52', 'cells_53', 'cells_54',
       'cells_55', '#yes'],
      dtype='object')",Ridge(alpha=10),Performance,0.2,"post_0            4085.585551
post_1            2404.294590
pre_1             2267.710333
post_6            2000.972322
CGSolver          1501.598236
post_5            1420.134809
cells_55          1405.638806
pre_0             1383.509621
post_4            1348.976488
cells_50          1229.942567
post_3            1144.326935
cells_51          1035.542873
pre_5             1025.728536
pre_6              982.871882
cells_54           865.533645
LoopSolver         855.268995
GradientSolver     659.155602
pre_4              656.632357
pre_3              647.164074
post_2             575.469587
SeqGS              559.232627
SeqSOR             559.232627
cells_52           404.294206
cells_53           398.607194
pre_2              338.823104
BiCGSTABSolver      12.826361
dtype: float64","count    215.000000
mean      13.928316
std        9.343653
min        0.337812
25%        6.638132
50%       12.327923
75%       19.108123
max       55.296049
Name: % error, dtype: float64"
206,ElasticNet,False,None,"Index(['SeqGS', 'SeqSOR', 'CGSolver', 'BiCGSTABSolver', 'LoopSolver',
       'GradientSolver', 'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5',
       'pre_6', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4', 'post_5',
       'post_6', 'cells_50', 'cells_51', 'cells_52', 'cells_53', 'cells_54',
       'cells_55', '#yes'],
      dtype='object')","ElasticNet(alpha=0.02, l1_ratio=0.0, max_iter=5)",Performance,0.2,"post_0            4176.305664
post_1            2620.442705
pre_1             2217.244634
CGSolver          1701.947423
post_6            1623.444262
pre_0             1477.041567
cells_50          1362.287112
cells_51          1290.732088
cells_55          1082.603231
post_5            1067.387556
post_4            1015.355159
post_3             808.429800
SeqGS              798.155475
pre_6              790.748517
pre_5              778.838451
cells_52           650.807080
LoopSolver         609.924124
cells_54           542.617064
pre_4              464.564064
GradientSolver     451.255887
pre_3              445.258760
SeqSOR             305.610594
post_2             239.679671
BiCGSTABSolver     231.496703
pre_2              153.239753
cells_53            88.838937
dtype: float64","count    215.000000
mean      13.596500
std        9.366198
min        0.117444
25%        6.308536
50%       11.681529
75%       19.047954
max       56.333931
Name: % error, dtype: float64"
207,RandomForest,False,None,"Index(['SeqGS', 'SeqSOR', 'CGSolver', 'BiCGSTABSolver', 'LoopSolver',
       'GradientSolver', 'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5',
       'pre_6', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4', 'post_5',
       'post_6', 'cells_50', 'cells_51', 'cells_52', 'cells_53', 'cells_54',
       'cells_55', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.2,"SeqGS            NaN
SeqSOR           NaN
CGSolver         NaN
BiCGSTABSolver   NaN
LoopSolver       NaN
GradientSolver   NaN
pre_0            NaN
pre_1            NaN
pre_2            NaN
pre_3            NaN
pre_4            NaN
pre_5            NaN
pre_6            NaN
post_0           NaN
post_1           NaN
post_2           NaN
post_3           NaN
post_4           NaN
post_5           NaN
post_6           NaN
cells_50         NaN
cells_51         NaN
cells_52         NaN
cells_53         NaN
cells_54         NaN
cells_55         NaN
#yes             NaN
Name: % error, dtype: float64","count    215.000000
mean       4.661174
std        6.205594
min        0.054534
25%        0.506769
50%        1.745458
75%        6.728051
max       30.398986
Name: % error, dtype: float64"
